label,solr_field,field_definition,field_type,required,repeatable,formable,placeholder_text,data_entry_hint,test_fixture_example,controlled_vocabulary,js_behaviors,html_attributes,display_only_on_persisted,importable,import_deliminated,import_transformation_method,exportable,export_transformation_method,indexable,index_transformation_method,validation_method
Temporal Coverage,dct_temporal_sm,https://opengeometadata.org/docs/ogm-aardvark/temporal-coverage,string,FALSE,TRUE,TRUE,,,2019|2020,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Date Issued,dct_issued_s,https://opengeometadata.org/docs/ogm-aardvark/date-issued,string,FALSE,FALSE,TRUE,,YYYY,1/1/20,,datepicker-years,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Index Year,gbl_indexYear_im,https://opengeometadata.org/docs/ogm-aardvark/index-year,integer,FALSE,TRUE,TRUE,,YYYY,2020|2021,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Date Range,gbl_dateRange_drsim,https://opengeometadata.org/docs/ogm-aardvark/date-range,string,FALSE,TRUE,TRUE,YYYY-YYYY,,2020-2020,,mask,"""data-inputmask-regex"" => ""'mask': '/\d{4}|\*-\d{4}|\*/'""",FALSE,TRUE,TRUE,,TRUE,date_range_json,TRUE,date_range_json,Document::DateRangeValidator
Spatial Coverage,dct_spatial_sm,https://opengeometadata.org/docs/ogm-aardvark/spatial-coverage,string,FALSE,TRUE,TRUE,,,spatial-coverage1|spatial-coverage2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Bounding Box,dcat_bbox,https://opengeometadata.org/docs/ogm-aardvark/bounding-box,string,FALSE,FALSE,TRUE,,"W,S,E,N - A centroid will be derived from this value.","-95.0379,40.6333,-91.198,43.1373",,,,FALSE,TRUE,FALSE,,TRUE,derive_dcat_bbox,TRUE,derive_dcat_bbox,Document::BboxValidator
Geometry,locn_geometry,https://opengeometadata.org/docs/ogm-aardvark/geometry,string,FALSE,FALSE,TRUE,,WKT - A POLYGON or MULTIPOLYGON value.,"POLYGON((-88.11 41.75, -84.75 41.75, -84.75 37.86, -88.11 37.86, -88.11 41.75))",,,,FALSE,TRUE,FALSE,,TRUE,derive_locn_geometry,TRUE,derive_locn_geometry,Document::GeomValidator
Centroid,dcat_centroid,https://opengeometadata.org/docs/ogm-aardvark/centroid,string,FALSE,FALSE,TRUE,,,"39.805,-86.43",,,,FALSE,TRUE,FALSE,,TRUE,derive_dcat_centroid,TRUE,derive_dcat_centroid,
GeoNames,b1g_geonames_sm,https://geobtaa.github.io/metadata/b1g-custom-elements.html#geonames,string,FALSE,TRUE,TRUE,,,geonames1|geonames2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Relation,dct_relation_sm,https://opengeometadata.org/docs/ogm-aardvark/relation,string,FALSE,TRUE,TRUE,,,relation1|relation2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Member Of,pcdm_memberOf_sm,https://opengeometadata.org/docs/ogm-aardvark/member-of,string,FALSE,TRUE,TRUE,,,member-of1|member-of2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Is Part Of,dct_isPartOf_sm,https://opengeometadata.org/docs/ogm-aardvark/is-part-of,string,FALSE,TRUE,TRUE,,,is-part-of1|is-part-of2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Source,dct_source_sm,https://opengeometadata.org/docs/ogm-aardvark/source,string,FALSE,TRUE,TRUE,,,source1|source2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Is Version Of,dct_isVersionOf_sm,https://opengeometadata.org/docs/ogm-aardvark/is-version-of,string,FALSE,TRUE,TRUE,,,version1|version2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Replaces,dct_replaces_sm,https://opengeometadata.org/docs/ogm-aardvark/replaces,string,FALSE,TRUE,TRUE,,,replaces1|replaces2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Is Replaced By,dct_isReplacedBy_sm,https://opengeometadata.org/docs/ogm-aardvark/is-replaced-by,string,FALSE,TRUE,TRUE,,,is-replaced-by1|is-replaced-by2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Format,dct_format_s,https://opengeometadata.org/docs/ogm-aardvark/format,string,FALSE,FALSE,TRUE,,,format,formats,autocomplete,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
File Size,gbl_fileSize_s,https://opengeometadata.org/docs/ogm-aardvark/file-size,string,FALSE,FALSE,TRUE,,,60mb,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
WxS Identifier,gbl_wxsIdentifier_s,https://opengeometadata.org/docs/ogm-aardvark/wxs-identifier,string,FALSE,FALSE,TRUE,,,wxs-identifier,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Georeferenced,gbl_georeferenced_b,https://opengeometadata.org/docs/ogm-aardvark/georeferenced,boolean,FALSE,FALSE,TRUE,,,FALSE,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Reference,dct_references_s,https://opengeometadata.org/docs/ogm-aardvark/references,text,FALSE,TRUE,TRUE,,URIs and Values,,reference_values,,,FALSE,TRUE,FALSE,build_dct_references,TRUE,references_json,TRUE,references_json,
B1G Image URL,b1g_image_ss,https://geobtaa.github.io/metadata/b1g-custom-elements.html#image,string,FALSE,FALSE,TRUE,,,image,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
ID,geomg_id_s,https://opengeometadata.org/docs/ogm-aardvark/id,string,TRUE,FALSE,TRUE,,,slug,,disable_if_persisted,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,presence
Identifier,dct_identifier_sm,https://opengeometadata.org/docs/ogm-aardvark/identifier,string,FALSE,TRUE,TRUE,,,identifier1|identifier2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Code,b1g_code_s,https://geobtaa.github.io/metadata/b1g-custom-elements.html#code,string,FALSE,FALSE,TRUE,,,code,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Access Rights,dct_accessRights_s,https://opengeometadata.org/docs/ogm-aardvark/access-rights,string,TRUE,FALSE,TRUE,,,access-rights1|access-rights2,access_rights,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,presence
Rights Holder,dct_rightsHolder_sm,https://opengeometadata.org/docs/ogm-aardvark/rights-holder,string,FALSE,TRUE,TRUE,,,rights-holder1|rights-holder2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
License,dct_license_sm,https://opengeometadata.org/docs/ogm-aardvark/license,string,FALSE,TRUE,TRUE,,,license1|license2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Rights,dct_rights_sm,https://opengeometadata.org/docs/ogm-aardvark/rights,string,FALSE,TRUE,TRUE,,,rights,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Accrual Method,b1g_dct_accrualMethod_s,https://geobtaa.github.io/metadata/b1g-custom-elements.html#accrual-method,string,FALSE,FALSE,TRUE,,,accrual-method,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Accrual Periodicity,b1g_dct_accrualPeriodicity_s,https://geobtaa.github.io/metadata/b1g-custom-elements.html#accrual-periodicity,string,FALSE,FALSE,TRUE,,,Annually,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Date Accessioned,b1g_dateAccessioned_sm,https://geobtaa.github.io/metadata/b1g-custom-elements.html#date-accessioned,string,FALSE,TRUE,TRUE,,,date-accessioned1|date-accessioned2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Date Retired,b1g_dateRetired_s,https://geobtaa.github.io/metadata/b1g-custom-elements.html#date-retired,string,FALSE,FALSE,TRUE,,,date-retired,,datepicker,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Status,b1g_status_s,https://geobtaa.github.io/metadata/b1g-custom-elements.html#status,string,FALSE,FALSE,TRUE,,,Active,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Publication State,b1g_publication_state_s,https://geobtaa.github.io/metadata/b1g-custom-elements.html#publication-state,string,TRUE,FALSE,TRUE,,,published,publication_states,,,TRUE,FALSE,FALSE,,TRUE,,TRUE,current_state,
Suppressed Record,gbl_suppressed_b,https://opengeometadata.org/docs/ogm-aardvark/suppressed,boolean,FALSE,FALSE,TRUE,,,FALSE,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Child Record,b1g_child_record_b,https://geobtaa.github.io/metadata/b1g-custom-elements.html#child-record,boolean,FALSE,FALSE,TRUE,,,FALSE,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,,
Mediator,b1g_dct_mediator_sm,https://geobtaa.github.io/metadata/b1g-custom-elements.html#mediator,string,FALSE,TRUE,TRUE,,,mediator1|mediator2,,,,FALSE,TRUE,TRUE,,TRUE,,TRUE,,
Access,b1g_access_s,https://geobtaa.github.io/metadata/b1g-custom-elements.html#access,string,FALSE,FALSE,TRUE,,,access,,,,FALSE,TRUE,FALSE,,TRUE,,TRUE,access_json,
Created At,date_created_dtsi,,datetime,FALSE,FALSE,FALSE,,,2021-12-09 15:50:49.803415,,,,TRUE,FALSE,FALSE,,TRUE,,TRUE,created_at_dt,
Updated At,date_modified_dtsi,,datetime,FALSE,FALSE,FALSE,,,2022-12-12 17:02:03.422663,,,,TRUE,FALSE,FALSE,,TRUE,,TRUE,gbl_mdModified_dt,
